Time,Rate
-2,0.5
-1.5,0.5
-1,0.5
-0.5,0.5
0,16
0.5,1
1,1
1.5,0.2
2,0.2
2.5,0.2
3,0.2
3.5,0.2
4,0.2
4.5,0.2
5,0.2
5.5,0.2
6,0.2
6.5,0
7,0
7.5,0
8,0.0769231
8.5,0.0769231
9,0.0769231
9.5,0.0769231
10,0.0769231
10.5,0.0769231
11,0.0769231
11.5,0.0769231
12,0.0769231
12.5,0.0769231
13,0.0769231
13.5,0.0769231
14,0.0769231
14.5,0.0769231
15,0.0769231
15.5,0.0769231
16,0.0769231
16.5,0.0769231
17,0.0769231
17.5,0.0769231
18,0.0769231
18.5,0.0769231
19,0.0769231
19.5,0.0769231
20,0.0769231
20.5,0.0769231
21,0
21.5,0
22,0
22.5,0
23,0
23.5,0
24,0.0625
24.5,0.0625
25,0.0625
25.5,0.0625
26,0.0625
26.5,0.0625
27,0.0625
27.5,0.0625
28,0.0625
28.5,0.0625
29,0.0625
29.5,0.0625
30,0.0625
30.5,0.0625
31,0.0625
31.5,0.0625
32,0.0625
32.5,0.0625
33,0.0625
33.5,0.0625
34,0.0625
34.5,0.0625
35,0.0625
35.5,0.0625
36,0.0625
36.5,0.0625
37,0.0625
37.5,0.0625
38,0.0625
38.5,0.0625
39,0.0625
39.5,0.0625
40,0
40.5,0
41,0
41.5,0
42,0
42.5,0
43,0
43.5,0.0588235
44,0.0588235
44.5,0.0588235
45,0.0588235
45.5,0.0588235
46,0.0588235
46.5,0.0588235
47,0.0588235
47.5,0.0588235
48,0.0588235
48.5,0.0588235
49,0.0588235
49.5,0.0588235
50,0.0588235
50.5,0.0588235
51,0.0588235
51.5,0.0588235
52,0.0588235
52.5,0.0588235
53,0.0588235
53.5,0.0588235
54,0.0588235
54.5,0.0588235
55,0.0588235
55.5,0.0588235
56,0.0588235
56.5,0.0588235
57,0.0588235
57.5,0.0588235
58,0.0588235
58.5,0.0588235
59,0.0588235
59.5,0.0588235
60,0.0588235
60.5,0
61,0
61.5,0
62,0
62.5,0
63,0
63.5,0
64,0
64.5,0
65,0
65.5,0
66,0.0357143
66.5,0.0357143
67,0.0357143
67.5,0.0357143
68,0.0357143
68.5,0.0357143
69,0.0357143
69.5,0.0357143
70,0.0357143
70.5,0.0357143
71,0.0357143
71.5,0.0357143
72,0.0357143
72.5,0.0357143
73,0.0357143
73.5,0.0357143
74,0.0357143
74.5,0.0357143
75,0.0357143
75.5,0.0357143
76,0.0357143
76.5,0.0357143
77,0.0357143
77.5,0.0357143
78,0.0357143
78.5,0.0357143
79,0.0357143
79.5,0.0357143
80,0.0357143
80.5,0.0357143
81,0.0357143
81.5,0.0357143
82,0.0357143
82.5,0.0357143
83,0.0357143
83.5,0.0357143
84,0.0357143
84.5,0.0357143
85,0.0357143
85.5,0.0357143
86,0.0357143
86.5,0.0357143
87,0.0357143
87.5,0.0357143
88,0.0357143
88.5,0.0357143
89,0.0357143
89.5,0.0357143
90,0.0357143
90.5,0.0357143
91,0.0357143
91.5,0.0357143
92,0.0357143
92.5,0.0357143
93,0.0357143
93.5,0.0357143
94,0
94.5,0
95,0
95.5,0
96,0
96.5,0
97,0
97.5,0
98,0.0322581
98.5,0.0322581
99,0.0322581
99.5,0.0322581
100,0.0322581
100.5,0.0322581
101,0.0322581
101.5,0.0322581
102,0.0322581
102.5,0.0322581
103,0.0322581
103.5,0.0322581
104,0.0322581
104.5,0.0322581
105,0.0322581
105.5,0.0322581
106,0.0322581
106.5,0.0322581
107,0.0322581
107.5,0.0322581
108,0.0322581
108.5,0.0322581
109,0.0322581
109.5,0.0322581
110,0.0322581
110.5,0.0322581
111,0.0322581
111.5,0.0322581
112,0.0322581
112.5,0.0322581
113,0.0322581
113.5,0.0322581
114,0.0322581
114.5,0.0322581
115,0.0322581
115.5,0.0322581
116,0.0322581
116.5,0.0322581
117,0.0322581
117.5,0.0322581
118,0.0322581
118.5,0.0322581
119,0.0322581
119.5,0.0322581
120,0.0322581
120.5,0.0322581
121,0.0322581
121.5,0.0322581
122,0.0322581
122.5,0.0322581
123,0.0322581
123.5,0.0322581
124,0.0322581
124.5,0.0322581
125,0.0322581
125.5,0.0322581
126,0.0322581
126.5,0.0322581
127,0.0322581
127.5,0.0322581
128,0.0322581
128.5,0.0322581
129,0
129.5,0
130,0
130.5,0
131,0
131.5,0
132,0
132.5,0
133,0.025974
133.5,0.025974
134,0.025974
134.5,0.025974
135,0.025974
135.5,0.025974
136,0.025974
136.5,0.025974
137,0.025974
137.5,0.025974
138,0.025974
138.5,0.025974
139,0.025974
139.5,0.025974
140,0.025974
140.5,0.025974
141,0.025974
141.5,0.025974
142,0.025974
142.5,0.025974
143,0.025974
143.5,0.025974
144,0.025974
144.5,0.025974
145,0.025974
145.5,0.025974
146,0.025974
146.5,0.025974
147,0.025974
147.5,0.025974
148,0.025974
148.5,0.025974
149,0.025974
149.5,0.025974
150,0.025974
150.5,0.025974
151,0.025974
151.5,0.025974
152,0.025974
152.5,0.025974
153,0.025974
153.5,0.025974
154,0.025974
154.5,0.025974
155,0.025974
155.5,0.025974
156,0.025974
156.5,0.025974
157,0.025974
157.5,0.025974
158,0.025974
158.5,0.025974
159,0.025974
159.5,0.025974
160,0.025974
160.5,0.025974
161,0.025974
161.5,0.025974
162,0.025974
162.5,0.025974
163,0.025974
163.5,0.025974
164,0.025974
164.5,0.025974
165,0.025974
165.5,0.025974
166,0.025974
166.5,0.025974
167,0.025974
167.5,0.025974
168,0.025974
168.5,0.025974
169,0.025974
169.5,0.025974
170,0.025974
170.5,0.025974
171,0.025974
171.5,0
172,0
172.5,0
173,0
173.5,0
174,0
174.5,0
175,0
175.5,0
176,0
176.5,0
177,0
177.5,0
178,0
178.5,0
179,0
179.5,0
180,0
180.5,0
181,0
